id,lat,lon,brand
317828998,46.1738259,6.1283334,BP
317829065,46.1931561,6.1526381,Shell
318306689,46.8773686,7.5419439,BP
318410355,47.419653,8.556201,Shell
319114593,46.3152191,6.1919134,BP
319463995,47.4206438,9.36708,Socar
320040835,47.4932576,8.8987116,Coop
320040876,47.4935613,8.8982352,Ruedi Rüssel
320182673,47.4938451,8.546728,Migrol
321271634,47.49898,8.7927573,Avia
321362564,47.3917824,8.5424928,Tamoil
321853683,47.5062912,8.7141595,Avia
322009546,46.1452015,6.1365929,Tamoil
322913188,47.0426407,8.5512547,Ruedi Rüssel
323236561,47.4948853,8.3401247,Avia
324343384,47.3015936,8.4484256,Independent
324648649,47.1858117,8.5209067,Migrol
325851832,46.1848264,7.211407,Tamoil
327282170,46.5668634,6.558821,Migrol
327446985,47.4437276,8.1985732,Voegtlin-Meyer
328060238,45.9851267,8.936422,Shell
330142805,47.524994,8.5392925,BP
331317250,47.3674023,8.4943259,Shell
331337817,46.6640423,9.5713655,Agrola
334002482,47.4150499,9.3536575,Coop
334005113,47.4162331,9.3452637,Shell
335477010,47.2669797,8.6508957,Avia
335958350,47.390375,8.4913858,SOCAR
336019729,47.5574974,7.5469471,Coop
338639819,47.3812597,8.5377769,Avia
339612237,47.2859721,8.5636417,Eni
339612238,47.2864826,8.565863,BP
339631367,47.2906713,8.4444262,Ruedi Rüssel
339631500,47.2963684,8.4486157,Ruedi Rüssel
339957313,47.1966126,8.4810829,AVIA
340321987,47.4308118,9.3470183,BP
340381113,47.1546449,8.5599052,Migrol
341961288,47.4388196,8.4578719,Avia
343087168,47.6399737,9.2005165,Migrol
344194669,47.3176278,8.6669872,Shell
344522057,46.5295496,9.8670469,BP
345328505,46.5572631,9.6246372,Avia
346269257,47.4641549,8.9693339,Agrola
346365679,47.1744702,7.4488162,AVIA
346406523,47.3232561,8.0219409,Avia
347672312,46.5199316,6.630332,BP
349171294,47.198656,8.1084466,Shell
349196976,47.0565682,8.2582774,Agrola
351947075,45.9820778,8.9294148,Esso
351947126,45.9806589,8.928934,Socar
351961987,46.1561379,8.9718321,Shell
352786909,46.9985153,6.7352154,Tamoil
353011599,47.4990816,7.7227859,SOCAR
354407155,47.1130701,8.231858,BP
354548408,45.9937769,7.1825888,Tamoil
354593878,46.3082786,7.4694091,Eni
354695628,46.775381,7.1605758,Marché Gaillard
355232174,47.3416225,8.7155853,Avia
355357953,46.6031845,7.0939064,Charmettes
356056801,47.0859033,8.3464876,Migrol
357231393,46.3063736,7.7511069,Migrol
357276942,46.3086349,7.7443331,SOCAR
357276951,46.3063782,7.750319,BP
357276994,46.303349,7.8012747,Tamoil
357299631,46.2926024,7.8782351,SOCAR
